AgeGroup,Differentiation,Stemness
"Age[20,60)",0.073818018,0.058308511
"Age[20,60)",0.101553378,0.064285844
"Age[20,60)",0.082378658,0.066073311
"Age[20,60)",0.080851609,0.055799251
"Age[20,60)",0.109655999,0.065135403
"Age[20,60)",0.120761687,0.078359805
"Age[20,60)",0.123613141,0.082906167
"Age[20,60)",0.111301128,0.068527018
"Age[20,60)",0.10347211,0.067997531
"Age[20,60)",0.11587612,0.0698581
"Age[20,60)",0.093651054,0.051306092
"Age[20,60)",0.112555288,0.084409633
"Age[20,60)",0.091189047,0.047441809
"Age[20,60)",0.107684756,0.074280819
"Age[20,60)",0.104732393,0.069340666
"Age[20,60)",0.067998173,0.029326646
"Age[20,60)",0.074215081,0.066614211
"Age[20,60)",0.11204412,0.074248187
"Age[20,60)",0.136788221,0.085869661
"Age[20,60)",0.107896401,0.061104627
"Age[20,60)",0.119837963,0.070229159
"Age[20,60)",0.096063018,0.069476655
"Age[20,60)",0.132122236,0.072579953
"Age[20,60)",0.10346544,0.064828676
"Age[20,60)",0.112785643,0.070207587
"Age[20,60)",0.135678262,0.091978082
"Age[20,60)",0.140618731,0.080131629
"Age[20,60)",0.115052956,0.081279882
"Age[20,60)",0.121071961,0.072616249
"Age[60,90)",0.045356334,0.03028266
"Age[20,60)",0.124731945,0.106154176
"Age[20,60)",0.048818206,0.02896771
"Age[20,60)",0.134558695,0.096439774
"Age[20,60)",0.035599428,0.061196321
"Age[20,60)",0.074605959,0.051356859
"Age[20,60)",0.109384906,0.053622743
"Age[20,60)",0.100796189,0.067912343
"Age[20,60)",0.098708237,0.103107166
"Age[20,60)",0.096933747,0.097531079
"Age[20,60)",0.044977102,0.029216626
"Age[20,60)",0.093629043,0.068301176
"Age[20,60)",0.098373016,0.075597957
"Age[20,60)",0.047907298,0.034300605
"Age[20,60)",0.083712511,0.068455177
"Age[20,60)",0.099405981,0.073071687
"Age[60,90)",0.153955308,0.088813068
"Age[60,90)",0.127435583,0.095170349
"Age[60,90)",0.156956259,0.105599238
"Age[60,90)",0.128694732,0.095898528
"Age[60,90)",0.109242805,0.092631999
"Age[60,90)",0.147681569,0.099920423
"Age[60,90)",0.157385902,0.101375234
"Age[60,90)",0.128008711,0.094017607
"Age[60,90)",0.163845559,0.119147791
"Age[60,90)",0.09733363,0.066009589
"Age[60,90)",0.13642083,0.103948024
"Age[60,90)",0.150441381,0.094734189
"Age[60,90)",0.167413146,0.114978286
"Age[60,90)",0.155382717,0.100005745
"Age[60,90)",0.164853623,0.107900994
"Age[60,90)",0.153090653,0.098167121
"Age[20,60)",0.186616202,0.142349466
"Age[60,90)",0.159716782,0.126540822
"Age[60,90)",0.1779846,0.131696658
"Age[60,90)",0.16651223,0.124319732
"Age[60,90)",0.157669546,0.11318746
"Age[20,60)",0.108460056,0.087032988
"Age[60,90)",0.144077394,0.087980076
"Age[60,90)",0.166349081,0.124150784
"Age[60,90)",0.14062827,0.116145349
"Age[60,90)",0.155362191,0.102381644
"Age[60,90)",0.135718183,0.101569225
"Age[60,90)",0.1398328,0.090163159
"Age[60,90)",0.151027276,0.102962772
"Age[60,90)",0.136678533,0.082504536
"Age[60,90)",0.145780876,0.097274618
"Age[20,60)",0.172035207,0.117567418
"Age[20,60)",0.104409504,0.099257946
"Age[60,90)",0.170292571,0.134497583
"Age[60,90)",0.149278288,0.097384784
"Age[60,90)",0.146448527,0.100991962
"Age[60,90)",0.144821973,0.062377625
"Age[60,90)",0.149157082,0.124724852
"Age[60,90)",0.155307955,0.085636049
"Age[60,90)",0.137432631,0.081595882
"Age[60,90)",0.160703338,0.109323548
"Age[60,90)",0.173540444,0.13314486
"Age[60,90)",0.11496219,0.077176085
"Age[60,90)",0.131424579,0.101534494
"Age[60,90)",0.143507158,0.094470708
"Age[60,90)",0.186561154,0.146856563
"Age[60,90)",0.079973538,0.061027936
"Age[60,90)",0.162833923,0.115699928
"Age[60,90)",0.172118801,0.130449126
"Age[60,90)",0.151122266,0.122244863
"Age[60,90)",0.15310218,0.113642394
"Age[60,90)",0.157299298,0.109347889
"Age[60,90)",0.149991039,0.106760224
"Age[60,90)",0.170892779,0.122830247
"Age[60,90)",0.140008621,0.108716812
"Age[60,90)",0.15015388,0.098808431
"Age[60,90)",0.184014131,0.156169199
"Age[60,90)",0.13362443,0.084729825
"Age[60,90)",0.155297326,0.101408565
"Age[60,90)",0.160754122,0.122114287
"Age[60,90)",0.162389829,0.111459765
"Age[60,90)",0.186141429,0.130845381
"Age[60,90)",0.135971006,0.102448831
"Age[60,90)",0.123128128,0.094339212
"Age[60,90)",0.161252538,0.101292356
"Age[60,90)",0.163859313,0.115400336
"Age[60,90)",0.089119378,0.062164622
"Age[60,90)",0.123934598,0.06554611
"Age[60,90)",0.156905857,0.140203699
"Age[60,90)",0.128887103,0.082093381
"Age[60,90)",0.169041359,0.12206554
"Age[60,90)",0.174718363,0.119719877
"Age[60,90)",0.173716372,0.106397794
"Age[60,90)",0.13162888,0.087674752
"Age[60,90)",0.156818149,0.098562766
"Age[60,90)",0.155988056,0.126446122
"Age[60,90)",0.159675101,0.111540439
"Age[60,90)",0.162508419,0.096164262
"Age[60,90)",0.190406271,0.144102404
"Age[60,90)",0.133816581,0.081351573
"Age[60,90)",0.141669678,0.09327064
"Age[60,90)",0.188007184,0.153481083
"Age[60,90)",0.139580604,0.082243336
"Age[60,90)",0.197246852,0.199922105
"Age[60,90)",0.159129228,0.119081397
"Age[60,90)",0.15410011,0.12270112
"Age[60,90)",0.130870403,0.082692544
"Age[60,90)",0.156772967,0.121891545
"Age[60,90)",0.172499361,0.129465683
"Age[60,90)",0.162718949,0.085084353
"Age[60,90)",0.165268551,0.12264129
"Age[60,90)",0.13017109,0.070528437
"Age[60,90)",0.161484423,0.124506134
"Age[60,90)",0.150866857,0.108489577
"Age[60,90)",0.156632219,0.090839825
"Age[60,90)",0.158175588,0.116575351
"Age[60,90)",0.138692874,0.068281217
"Age[60,90)",0.171352933,0.148520678
"Age[60,90)",0.164943534,0.111901517
"Age[60,90)",0.111751422,0.073781004
"Age[60,90)",0.182011749,0.122647586
"Age[60,90)",0.154349272,0.107744712
"Age[60,90)",0.140303316,0.075053249
"Age[60,90)",0.153958062,0.10218101
"Age[60,90)",0.177527401,0.136011226
"Age[60,90)",0.097961432,0.053611403
"Age[60,90)",0.162379166,0.106767932
"Age[60,90)",0.122284909,0.113879626
"Age[60,90)",0.135489417,0.096081925
"Age[60,90)",0.137819642,0.091013492
"Age[60,90)",0.135886413,0.087993843
"Age[60,90)",0.126395292,0.093451782
"Age[60,90)",0.151778845,0.13517658
