AgeGroup,Overexpressed,Underexpressed
"Age[60,90)",0.123782995,0.078569597
"Age[60,90)",0.155851402,0.050905387
"Age[20,60)",0.024815356,-0.009264992
"Age[60,90)",0.089126377,0.105830293
"Age[60,90)",0.161172922,0.073412165
"Age[60,90)",0.129558013,0.056844045
"Age[60,90)",0.119716163,0.063246623
"Age[60,90)",0.129186934,0.066181641
"Age[60,90)",0.167717416,0.051818296
"Age[60,90)",0.181152726,0.060448873
"Age[60,90)",0.157041698,0.025959154
"Age[60,90)",0.17054024,0.055361028
"Age[20,60)",0.212048584,0.052334513
"Age[20,60)",0.108305681,0.012772007
"Age[60,90)",0.108653512,0.076551287
"Age[60,90)",0.139439183,0.012573538
"Age[60,90)",0.166223083,0.036846565
"Age[60,90)",0.165640142,0.056299898
"Age[60,90)",0.094057597,0.066372608
"Age[60,90)",0.160039587,0.079421031
"Age[60,90)",0.095749615,0.059384514
"Age[60,90)",0.120875435,0.071342037
"Age[60,90)",0.21005731,0.041242285
"Age[60,90)",0.139342873,-0.023400786
"Age[60,90)",0.13897682,0.032783789
"Age[60,90)",0.140843008,0.093889089
"Age[60,90)",0.099793348,0.135369029
"Age[60,90)",0.045054582,0.011027078
"Age[60,90)",0.157412729,0.064914674
"Age[60,90)",0.139289202,0.027343062
"Age[60,90)",0.108689238,0.063122075
"Age[60,90)",0.195714535,0.069244764
"Age[60,90)",0.172697735,0.073115711
"Age[60,90)",0.123258493,0.049811682
"Age[60,90)",0.162256312,0.040104315
"Age[60,90)",0.195806513,0.072268538
"Age[60,90)",0.110818257,0.012751799
"Age[60,90)",0.123991921,0.142742631
"Age[60,90)",0.119741822,0.023443755
"Age[60,90)",0.135393017,0.048469978
"Age[60,90)",0.144752232,0.060884143
"Age[60,90)",0.12842503,0.079480719
"Age[60,90)",0.157236555,0.075236388
"Age[60,90)",0.139929235,0.073465853
"Age[60,90)",0.161441121,0.045099099
"Age[60,90)",0.162278048,0.031693432
"Age[60,90)",0.138315161,0.074236823
"Age[60,90)",0.164727051,0.039321734
"Age[60,90)",0.154038187,0.069511876
"Age[60,90)",0.105932261,0.087895277
"Age[60,90)",0.168835211,0.069207299
"Age[60,90)",0.166331278,0.031929754
"Age[60,90)",0.165534183,0.066784741
"Age[60,90)",0.161960112,0.065432688
"Age[60,90)",0.177452818,0.074600139
"Age[60,90)",0.175276125,0.061200494
"Age[60,90)",0.166906602,0.072493715
"Age[60,90)",0.133145077,0.074535396
"Age[60,90)",0.209814188,0.060447225
"Age[60,90)",0.154189488,0.135876938
"Age[60,90)",0.11547716,0.055017391
"Age[60,90)",0.172699522,0.016520934
"Age[60,90)",0.155969031,0.088266396
"Age[60,90)",0.178406733,0.042641665
"Age[60,90)",0.095286662,0.365280114
"Age[60,90)",0.109618457,0.071218821
"Age[60,90)",0.141732733,0.083025968
"Age[60,90)",0.131918846,0.046490542
"Age[60,90)",0.153692495,0.091194461
"Age[60,90)",0.157701202,0.039898916
"Age[60,90)",0.183371885,0.05117842
"Age[60,90)",0.165616853,0.070373114
"Age[60,90)",0.179448313,0.052643767
"Age[60,90)",0.164001755,0.051787609
"Age[60,90)",0.091885758,0.075976979
"Age[60,90)",0.228150303,0.023894446
"Age[60,90)",0.152185847,0.057764276
"Age[60,90)",0.197557171,0.026595945
"Age[60,90)",0.097024703,0.116116471
"Age[60,90)",0.117649627,0.055369288
"Age[60,90)",0.06755415,0.017992455
"Age[60,90)",0.157266946,0.08472729
"Age[60,90)",0.153931331,0.073160053
"Age[60,90)",0.134474117,0.07419187
"Age[60,90)",0.161000445,0.072532741
