CellType,Organ,CellNum
FCPC,Pancreas,51
iCAF,Pancreas,3
LipFB,Pancreas,100
MetFB,Pancreas,2
myoCAF,Pancreas,12
PapFB,Pancreas,0
ProFB,Pancreas,0
UniFB,Pancreas,15
ActFB,Placenta,48
apCAF,Placenta,606
CycFB,Placenta,120
CytFB,Placenta,0
DerFB,Placenta,33
DevFB,Placenta,40
EpiFB,Placenta,0
FCC,Placenta,0
FCPC,Placenta,4
iCAF,Placenta,18
LipFB,Placenta,0
MetFB,Placenta,0
myoCAF,Placenta,0
PapFB,Placenta,0
ProFB,Placenta,0
UniFB,Placenta,518
ActFB,Pleura,11
apCAF,Pleura,1348
CycFB,Pleura,6
CytFB,Pleura,488
DerFB,Pleura,1
DevFB,Pleura,0
EpiFB,Pleura,147
FCC,Pleura,118
FCPC,Pleura,61
iCAF,Pleura,2588
LipFB,Pleura,205
MetFB,Pleura,48
myoCAF,Pleura,9535
PapFB,Pleura,0
ProFB,Pleura,0
UniFB,Pleura,49
ActFB,Prostate,1
apCAF,Prostate,0
CycFB,Prostate,8
CytFB,Prostate,4
DerFB,Prostate,0
DevFB,Prostate,157
EpiFB,Prostate,0
FCC,Prostate,3
FCPC,Prostate,6
iCAF,Prostate,3
LipFB,Prostate,4
MetFB,Prostate,0
myoCAF,Prostate,3
PapFB,Prostate,0
ProFB,Prostate,0
UniFB,Prostate,31
ActFB,Rectum,0
apCAF,Rectum,9
CycFB,Rectum,75
CytFB,Rectum,0
DerFB,Rectum,35
DevFB,Rectum,0
EpiFB,Rectum,0
FCC,Rectum,5
FCPC,Rectum,5
iCAF,Rectum,378
LipFB,Rectum,0
MetFB,Rectum,0
myoCAF,Rectum,6
PapFB,Rectum,0
ProFB,Rectum,0
UniFB,Rectum,697
ActFB,Salivary_Gland,181
apCAF,Salivary_Gland,14
CycFB,Salivary_Gland,7
CytFB,Salivary_Gland,281
DerFB,Salivary_Gland,11
DevFB,Salivary_Gland,0
EpiFB,Salivary_Gland,16
FCC,Salivary_Gland,25
FCPC,Salivary_Gland,440
iCAF,Salivary_Gland,204
LipFB,Salivary_Gland,775
MetFB,Salivary_Gland,82
myoCAF,Salivary_Gland,256
PapFB,Salivary_Gland,4
ProFB,Salivary_Gland,3
UniFB,Salivary_Gland,94
ActFB,Skin,5
apCAF,Skin,2
CycFB,Skin,63
CytFB,Skin,1
DerFB,Skin,2246
DevFB,Skin,1
EpiFB,Skin,0
FCC,Skin,18
FCPC,Skin,2
iCAF,Skin,165
LipFB,Skin,8
MetFB,Skin,3
myoCAF,Skin,25
PapFB,Skin,1
ProFB,Skin,1
UniFB,Skin,1111
ActFB,Spleen,5
apCAF,Spleen,0
CycFB,Spleen,0
CytFB,Spleen,0
DerFB,Spleen,0
DevFB,Spleen,0
EpiFB,Spleen,0
FCC,Spleen,0
FCPC,Spleen,0
iCAF,Spleen,0
LipFB,Spleen,1
MetFB,Spleen,0
myoCAF,Spleen,0
PapFB,Spleen,0
