Trait	CellType	mcz	mcp
Insomnia	DevFB	0.36912102	0.32567433
Insomnia	EpiFB	-1.1977302	0.9070929
Insomnia	FCC	1.6663114	0.054945055
Insomnia	FCPC	0.8363971	0.1958042
Insomnia	iCAF	1.9848143	0.03996004
Insomnia	LipFB	5.6284966	0.001998002
Insomnia	MetFB	2.5973568	0.015984016
Insomnia	myoCAF	0.25759375	0.33866134
Insomnia	PapFB	-1.0902175	0.8761239
Insomnia	ProFB	5.147756	0.000999001
Insomnia	UniFB	3.0810578	0.011988012
Intel	ActFB	2.901483	0.013986014
Intel	apCAF	10.707885	0.000999001
Intel	CycFB	7.5472736	0.000999001
Intel	CytFB	13.063873	0.000999001
Intel	DerFB	-0.81006014	0.7932068
Intel	DevFB	1.3007872	0.0999001
Intel	EpiFB	1.9794672	0.03196803
Intel	FCC	1.3898966	0.08091908
Intel	FCPC	1.9577054	0.033966035
Intel	iCAF	2.9473412	0.00999001
Intel	LipFB	12.09408	0.000999001
Intel	MetFB	3.086339	0.001998002
Intel	myoCAF	5.87437	0.000999001
Intel	PapFB	2.5098248	0.003996004
Intel	ProFB	8.702816	0.000999001
Intel	UniFB	3.2786255	0.010989011
LDL	ActFB	2.8990703	0.012987013
LDL	apCAF	-0.26350096	0.5104895
LDL	CycFB	2.7022393	0.010989011
LDL	CytFB	2.6511238	0.022977022
LDL	DerFB	-0.58375204	0.71428573
LDL	DevFB	1.6028008	0.064935066
LDL	EpiFB	0.39288646	0.2987013
LDL	FCC	1.4885776	0.07392608
LDL	FCPC	3.6796324	0.000999001
LDL	iCAF	2.409998	0.027972028
LDL	LipFB	6.347871	0.000999001
LDL	MetFB	0.83650714	0.19480519
LDL	myoCAF	5.0288224	0.001998002
LDL	PapFB	-1.0699079	0.8521479
LDL	ProFB	1.7245921	0.045954045
LDL	UniFB	1.8768584	0.04795205
LYM	ActFB	1.3583972	0.103896104
LYM	apCAF	1.4141251	0.07392608
LYM	CycFB	3.4678016	0.004995005
LYM	CytFB	5.5422807	0.000999001
LYM	DerFB	-0.12962705	0.55044955
LYM	DevFB	1.3470229	0.09090909
LYM	EpiFB	3.0607312	0.006993007
LYM	FCC	2.0235097	0.038961038
LYM	FCPC	1.9977435	0.04195804
LYM	iCAF	2.5633018	0.024975024
LYM	LipFB	2.198027	0.038961038
LYM	MetFB	2.9471824	0.002997003
LYM	myoCAF	5.930396	0.000999001
LYM	PapFB	0.29883185	0.3996004
LYM	ProFB	1.8671731	0.04295704
LYM	UniFB	3.0297856	0.014985015
MCH	ActFB	1.8737746	0.04295704
MCH	apCAF	3.353153	0.010989011
MCH	CycFB	0.25266856	0.34465533
MCH	CytFB	4.087577	0.004995005
MCH	DerFB	1.7439663	0.04995005
MCH	DevFB	0.18455756	0.4105894
MCH	EpiFB	3.8662114	0.001998002
MCH	FCC	2.630989	0.017982017
MCH	FCPC	3.9089885	0.000999001
MCH	iCAF	7.144849	0.000999001
MCH	LipFB	3.7378173	0.002997003
MCH	MetFB	3.6740646	0.001998002
MCH	myoCAF	9.087593	0.000999001
MCH	PapFB	0.2340947	0.42757243
MCH	ProFB	0.39077845	0.32867134
MCH	UniFB	11.892889	0.000999001
MDD	ActFB	6.2021575	0.000999001
MDD	apCAF	9.643148	0.000999001
MDD	CycFB	8.295484	0.000999001
