CellType	Trait	Intersection_count	p_value	Label	Log10_Pvalue
FCC	BP	43	0.936106055923851		0.02867494517936
iCAF	BP	44	0.936106055923851		0.02867494517936
UniFB	BP	42	0.936106055923851		0.02867494517936
CycFB	BP	48	1		0
DerFB	BP	42	0.936106055923851		0.02867494517936
DevFB	BP	60	0.447408879038313		0.349295401376894
apCAF	BP	68	0.0441674306063485	68	1.3548978646298
MetFB	BP	44	0.936106055923851		0.02867494517936
EpiFB	BP	39	0.936106055923851		0.02867494517936
CytFB	BP	46	1		0
PapFB	BP	42	0.936106055923851		0.02867494517936
ProFB	BP	47	1		0
LipFB	BP	41	0.936106055923851		0.02867494517936
FCPC	CD	59	0.125598245342988		0.9010164278216
myoCAF	CD	53	0.426578687511673		0.370000846325154
ActFB	CD	61	0.104242807119135		0.981953902169459
FCC	CD	72	0.00651358756557293	72	2.18617974403128
iCAF	CD	57	0.166759845300435		0.777908516431316
UniFB	CD	61	0.104242807119135		0.981953902169459
CycFB	CD	51	0.541431528361543		0.266456458216854
DerFB	CD	59	0.125598245342988		0.9010164278216
DevFB	CD	57	0.166759845300435		0.777908516431316
apCAF	CD	64	0.104242807119135		0.981953902169459
MetFB	CD	59	0.125598245342988		0.9010164278216
EpiFB	CD	60	0.125598245342988		0.9010164278216
CytFB	CD	61	0.104242807119135		0.981953902169459
PapFB	CD	57	0.166759845300435		0.777908516431316
ProFB	CD	58	0.157194141926025		0.80356364262617
LipFB	CD	62	0.104242807119135		0.981953902169459
FCPC	Celiac	57	0.259404203800676		0.586022990192403
myoCAF	Celiac	64	0.113574953846996		0.944717430995829
ActFB	Celiac	60	0.20933040890498		0.679167678205243
FCC	Celiac	51	0.577526963585646		0.23842773461661
iCAF	Celiac	56	0.281040259194533		0.551231462679796
UniFB	Celiac	59	0.20933040890498		0.679167678205243
CycFB	Celiac	59	0.20933040890498		0.679167678205243
DerFB	Celiac	57	0.259404203800676		0.586022990192403
DevFB	Celiac	55	0.308864761188129		0.510231638136037
apCAF	Celiac	59	0.20933040890498		0.679167678205243
MetFB	Celiac	50	0.646905617095542		0.189159077854709
EpiFB	Celiac	57	0.259404203800676		0.586022990192403
CytFB	Celiac	64	0.113574953846996		0.944717430995829
PapFB	Celiac	55	0.308864761188129		0.510231638136037
ProFB	Celiac	54	0.365465017386919		0.43715418774287
LipFB	Celiac	56	0.281040259194533		0.551231462679796
FCPC	CAD	50	1		0
myoCAF	CAD	59	0.627991226714941		0.202046423485581
ActFB	CAD	48	1		0
FCC	CAD	52	1		0
iCAF	CAD	47	1		0
UniFB	CAD	49	1		0
CycFB	CAD	51	1		0
DerFB	CAD	49	1		0
DevFB	CAD	53	1		0
apCAF	CAD	59	0.627991226714941		0.202046423485581
MetFB	CAD	41	1		0
EpiFB	CAD	52	1		0
CytFB	CAD	47	1		0
PapFB	CAD	47	1		0
ProFB	CAD	46	1		0
LipFB	CAD	43	1		0
FCPC	DrinkWeek	53	0.399917519542193		0.398029569925397
myoCAF	DrinkWeek	56	0.206096190075991		0.685930036577252
ActFB	DrinkWeek	59	0.10466520445249		0.980197673869224
FCC	DrinkWeek	57	0.166759845300435		0.777908516431316
iCAF	DrinkWeek	61	0.0625456842714809		1.20380265178582
UniFB	DrinkWeek	60	0.0813470689160568		1.08965809087114
CycFB	DrinkWeek	64	0.0324499868134274	64	1.4887854753461
DerFB	DrinkWeek	67	0.0120576952938644	67	1.91873569524802
DevFB	DrinkWeek	63	0.0429782260151385	63	1.36675151457134
apCAF	DrinkWeek	73	0.00120465386760803	73	2.91913772070897
MetFB	DrinkWeek	62	0.0566919829111605		1.24647835245841
EpiFB	DrinkWeek	58	0.13301042778356		0.876114309774781
CytFB	DrinkWeek	75	0.000694513019584841	75	3.15831960841326
PapFB	DrinkWeek	78	0.000255420696692068	78	3.5927439148448
ProFB	DrinkWeek	68	0.00883348612126971	68	2.05386786896582
LipFB	DrinkWeek	68	0.00883348612126971	68	2.05386786896582
FCPC	FG	42	0.802376619363301		0.0956217348099732
myoCAF	FG	39	0.708836076594368		0.149454186906642
ActFB	FG	43	0.802376619363301		0.0956217348099732
FCC	FG	42	0.802376619363301		0.0956217348099732
iCAF	FG	34	0.583659458551522		0.233840472081041
UniFB	FG	36	0.583659458551522		0.233840472081041
CycFB	FG	46	0.939024503263455		0.0273230749402123
DerFB	FG	40	0.760105214671141		0.119126287997595
DevFB	FG	45	0.873049688623731		0.058961038217681
apCAF	FG	57	0.583659458551522		0.233840472081041
MetFB	FG	44	0.802376619363301		0.0956217348099732
EpiFB	FG	44	0.802376619363301		0.0956217348099732
CytFB	FG	41	0.802376619363301		0.0956217348099732
PapFB	FG	44	0.802376619363301		0.0956217348099732
ProFB	FG	37	0.583659458551522		0.233840472081041
LipFB	FG	43	0.802376619363301		0.0956217348099732
FCPC	GRT	56	0.22081734650999		0.655966813199809
myoCAF	GRT	68	0.00736123843439142	68	2.13304911501344
ActFB	GRT	56	0.22081734650999		0.655966813199809
FCC	GRT	53	0.426578687511673		0.370000846325154
iCAF	GRT	62	0.0566919829111605		1.24647835245841
UniFB	GRT	61	0.0625456842714809		1.20380265178582
CycFB	GRT	62	0.0566919829111605		1.24647835245841
DerFB	GRT	56	0.22081734650999		0.655966813199809
DevFB	GRT	63	0.0491179725887297	63	1.30875956759366
apCAF	GRT	92	1.36724561093467e-08	92	5
MetFB	GRT	56	0.22081734650999		0.655966813199809
EpiFB	GRT	52	0.445384622192557		0.351264781940978
CytFB	GRT	72	0.00312415075663837	72	2.50526801730548
PapFB	GRT	71	0.00312415075663837	71	2.50526801730548
ProFB	GRT	70	0.00312415075663837	70	2.50526801730548
LipFB	GRT	70	0.00312415075663837	70	2.50526801730548
FCPC	IBD	56	0.343493650126651		0.464081286960896
myoCAF	IBD	58	0.343493650126651		0.464081286960896
ActFB	IBD	56	0.343493650126651		0.464081286960896
FCC	IBD	63	0.20848561423827		0.680923906505478
iCAF	IBD	58	0.343493650126651		0.464081286960896
UniFB	IBD	55	0.365021990495061		0.437680970987425
CycFB	IBD	48	0.878622323180772		0.0561977667990524
DerFB	IBD	61	0.20848561423827		0.680923906505478
DevFB	IBD	52	0.509010996791493		0.293272834963291
apCAF	IBD	57	0.343493650126651		0.464081286960896
MetFB	IBD	56	0.343493650126651		0.464081286960896
EpiFB	IBD	61	0.20848561423827		0.680923906505478
CytFB	IBD	54	0.426375853618073		0.370207398112257
PapFB	IBD	51	0.577526963585646		0.23842773461661
ProFB	IBD	52	0.509010996791493		0.293272834963291
LipFB	IBD	55	0.365021990495061		0.437680970987425
FCPC	Insomnia	43	1		0
myoCAF	Insomnia	47	1		0
ActFB	Insomnia	48	1		0
FCC	Insomnia	38	0.900087364632833		0.0457153348534264
iCAF	Insomnia	44	1		0
UniFB	Insomnia	47	1		0
CycFB	Insomnia	40	0.91212625760537		0.03994504194997
DerFB	Insomnia	43	1		0
DevFB	Insomnia	45	1		0
apCAF	Insomnia	57	0.900087364632833		0.0457153348534264
MetFB	Insomnia	53	1		0
EpiFB	Insomnia	48	1		0
CytFB	Insomnia	55	0.91212625760537		0.03994504194997
PapFB	Insomnia	61	0.625456842714809		0.203802651785815
ProFB	Insomnia	49	1		0
LipFB	Insomnia	52	1		0
FCPC	Intel	45	0.818484083084748		0.0869897618179245
myoCAF	Intel	49	0.818484083084748		0.0869897618179245
ActFB	Intel	52	0.818484083084748		0.0869897618179245
FCC	Intel	37	0.583659458551522		0.233840472081041
iCAF	Intel	43	0.818484083084748		0.0869897618179245
UniFB	Intel	42	0.818484083084748		0.0869897618179245
CycFB	Intel	45	0.818484083084748		0.0869897618179245
DerFB	Intel	51	0.818484083084748		0.0869897618179245
DevFB	Intel	60	0.447408879038313		0.349295401376894
apCAF	Intel	83	8.56348454563317e-06	83	5
MetFB	Intel	44	0.818484083084748		0.0869897618179245
EpiFB	Intel	52	0.818484083084748		0.0869897618179245
CytFB	Intel	57	0.583659458551522		0.233840472081041
PapFB	Intel	49	0.818484083084748		0.0869897618179245
ProFB	Intel	51	0.818484083084748		0.0869897618179245
LipFB	Intel	54	0.818484083084748		0.0869897618179245
FCPC	SLE	49	1		0
myoCAF	SLE	52	0.940953624866243		0.0264317803570089
ActFB	SLE	54	0.940953624866243		0.0264317803570089
FCC	SLE	51	0.940953624866243		0.0264317803570089
iCAF	SLE	46	1		0
UniFB	SLE	43	0.940953624866243		0.0264317803570089
CycFB	SLE	48	1		0
DerFB	SLE	46	1		0
DevFB	SLE	52	0.940953624866243		0.0264317803570089
apCAF	SLE	58	0.576378520395426		0.239292212187607
MetFB	SLE	43	0.940953624866243		0.0264317803570089
EpiFB	SLE	47	1		0
CytFB	SLE	59	0.576378520395426		0.239292212187607
PapFB	SLE	50	0.940953624866243		0.0264317803570089
ProFB	SLE	56	0.772860712784965		0.111898768849533
LipFB	SLE	61	0.576378520395426		0.239292212187607
FCPC	MDD	40	0.570078911003356		0.244065024605895
myoCAF	MDD	50	0.862540822794056		0.0642203412464087
